t,water_sensor,water_model,air
2026-08-08T12:00:00Z,21.08,18.0,19.8
2026-08-08T15:00:00Z,21.05,18.0,20.7
2026-08-08T18:00:00Z,20.7,18.0,18.8
2026-08-08T21:00:00Z,20.35,17.9,15.7
2026-08-09T00:00:00Z,20.12,17.7,15.6
2026-08-09T03:00:00Z,19.91,17.7,15.5
2026-08-09T06:00:00Z,20.11,17.6,17.8
2026-08-09T09:00:00Z,20.7,17.7,20.0
2026-08-09T12:00:00Z,21.11,17.8,20.1
2026-08-09T15:00:00Z,20.99,17.7,19.4
2026-08-09T18:00:00Z,20.24,17.5,17.5
2026-08-09T21:00:00Z,20.03,17.3,16.3
2026-08-10T00:00:00Z,19.76,17.1,15.4
2026-08-10T03:00:00Z,19.66,17.0,15.2
2026-08-10T06:00:00Z,19.82,17.0,17.3
2026-08-10T09:00:00Z,20.14,17.1,20.0
2026-08-10T12:00:00Z,20.35,17.2,20.7
2026-08-10T15:00:00Z,20.02,17.1,17.8
2026-08-10T18:00:00Z,19.76,17.0,16.3
2026-08-10T21:00:00Z,19.53,16.9,15.4
2026-08-11T00:00:00Z,19.37,16.8,15.7
2026-08-11T03:00:00Z,19.16,16.7,14.0
2026-08-11T06:00:00Z,19.48,16.7,15.7
2026-08-11T09:00:00Z,19.87,16.9,18.7
2026-08-11T12:00:00Z,19.94,17.0,17.8
2026-08-11T15:00:00Z,19.88,17.0,16.6
2026-08-11T18:00:00Z,19.58,16.9,14.9
2026-08-11T21:00:00Z,19.06,16.9,12.8
2026-08-12T00:00:00Z,18.59,16.7,11.0
2026-08-12T03:00:00Z,18.29,16.3,10.3
2026-08-12T06:00:00Z,18.42,16.0,13.4
2026-08-12T09:00:00Z,18.77,16.0,17.0
2026-08-12T12:00:00Z,19.11,16.1,18.0
2026-08-12T15:00:00Z,19.27,16.2,17.9
2026-08-12T18:00:00Z,19.03,16.2,16.3
2026-08-12T21:00:00Z,18.62,16.1,13.8
2026-08-13T00:00:00Z,18.28,16.1,11.6
2026-08-13T03:00:00Z,18.0,16.0,10.1
2026-08-13T06:00:00Z,18.31,16.0,13.5
2026-08-13T09:00:00Z,18.38,16.3,18.1
2026-08-13T12:00:00Z,19.28,16.6,18.7
2026-08-13T15:00:00Z,19.3,16.6,19.9
2026-08-13T18:00:00Z,18.77,16.5,17.8
2026-08-13T21:00:00Z,18.62,16.5,13.9
2026-08-14T00:00:00Z,18.2,16.4,11.9
2026-08-14T03:00:00Z,17.91,16.3,11.6
2026-08-14T06:00:00Z,17.53,16.2,15.0
2026-08-14T09:00:00Z,17.62,16.4,18.0
2026-08-14T12:00:00Z,17.64,16.5,19.7
2026-08-14T15:00:00Z,18.27,16.5,19.3
2026-08-14T18:00:00Z,18.72,16.5,17.8
2026-08-14T21:00:00Z,18.66,16.4,16.7
2026-08-15T00:00:00Z,18.52,16.4,15.9
2026-08-15T03:00:00Z,18.38,16.3,15.5
2026-08-15T06:00:00Z,18.61,16.4,17.2
2026-08-15T09:00:00Z,19.08,16.5,19.5
2026-08-15T12:00:00Z,19.46,16.7,21.1
2026-08-15T15:00:00Z,19.51,16.8,20.7
2026-08-15T18:00:00Z,19.09,16.8,18.6
2026-08-15T21:00:00Z,19.04,16.8,17.3
2026-08-16T00:00:00Z,18.99,16.8,17.2
2026-08-16T03:00:00Z,18.87,16.7,16.7
2026-08-16T06:00:00Z,18.91,16.7,18.0
2026-08-16T09:00:00Z,19.51,16.9,19.4
2026-08-16T12:00:00Z,19.91,17.0,19.2
2026-08-16T15:00:00Z,19.84,17.0,18.2
2026-08-16T18:00:00Z,19.41,16.8,16.4
